pop_size,generations,selection_pct,mutation_rate,max_foods,success_rate_pct,effectiveness_avg_fitness,effectiveness_std_dev,efficiency_avg_run_time_s
150,30,0.5,0.3,,90.0,16.0,1.3416407864998738,4.419376945495605
150,30,0.2,0.3,,70.0,15.4,2.8,4.743242454528809
150,30,0.5,0.1,,60.0,15.2,2.4413111231467406,4.316370701789856
150,30,0.2,0.1,,70.0,14.4,2.2,4.373469543457031
150,10,0.2,0.1,,50.0,14.4,2.2,1.4944087028503419
150,10,0.5,0.1,,30.0,13.6,2.009975124224178,1.6624369859695434
150,10,0.2,0.3,,60.0,13.4,3.0724582991474434,1.441723108291626
150,10,0.5,0.3,,30.0,13.2,1.8867962264113207,1.6408199071884155
100,10,0.4,0.2,4.0,20.0,12.2,2.4,0.9660205125808716
50,30,0.2,0.1,,10.0,12.0,1.61245154965971,1.3833031892776488
50,10,0.2,0.1,,0.0,11.0,1.7888543819998317,0.4640483379364014
50,10,0.5,0.1,,0.0,10.8,1.8867962264113207,0.48913547992706297
50,30,0.5,0.3,,10.0,10.6,2.33238075793812,1.2592263698577881
50,10,0.5,0.3,,0.0,10.6,1.7435595774162693,0.4667635440826416
50,30,0.5,0.1,,0.0,10.4,2.009975124224178,1.2095234870910645
50,10,0.2,0.3,,20.0,9.8,2.85657137141714,0.41433846950531006
50,30,0.2,0.3,,0.0,9.8,2.4,1.0640263557434082
